City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
146,faanui,PF,-16.48,-151.75,78.35,80,30,8.28,1602857031
147,mogadishu,SO,2.04,45.34,84.2,66,40,14.99,1602856901
148,kwinana,AU,-32.25,115.77,63.0,67,0,10.29,1602857033
149,stromness,GB,58.97,-3.3,48.2,81,90,9.17,1602857034
150,marsh harbour,BS,26.54,-77.06,82.38,78,100,10.36,1602856814
151,ribeira grande,PT,38.52,-28.7,73.4,69,20,13.87,1602857036
152,simbahan,PH,6.3,120.58,79.34,88,100,20.6,1602857038
153,isangel,VU,-19.55,169.27,69.22,83,100,11.92,1602857039
154,sangueya,GN,10.7,-14.37,92.46,57,99,2.28,1602857040
155,padang,ID,-0.95,100.35,79.16,77,55,3.2,1602857041
156,abu dhabi,AE,24.47,54.37,91.4,31,0,11.41,1602857043
157,port elizabeth,ZA,-33.92,25.57,68.0,77,40,24.16,1602857044
158,tiksi,RU,71.69,128.87,21.69,97,98,5.79,1602857045
159,ust-maya,RU,60.42,134.53,15.6,93,79,3.24,1602857046
160,kushiro,JP,42.98,144.37,46.36,68,100,1.61,1602857047
161,mancio lima,BR,-7.61,-72.9,83.12,63,95,2.08,1602857048
162,atar,MR,20.52,-13.05,100.22,14,0,15.43,1602857049
163,hilo,US,19.73,-155.09,73.4,73,40,5.82,1602857050
164,airai,TL,-8.93,125.41,61.45,93,90,0.89,1602857051
165,vardo,NO,70.37,31.11,32.0,77,40,11.41,1602857053
166,tingi,TZ,-11.3,35.03,74.57,59,32,4.97,1602857054
167,trincomalee,LK,8.57,81.23,83.62,65,77,10.89,1602857055
168,kahului,US,20.89,-156.47,73.0,73,1,3.36,1602856809
169,ponta do sol,PT,32.67,-17.1,73.4,56,40,11.41,1602856770
170,zunyi,CN,27.69,106.91,52.5,91,100,3.96,1602857059
171,namibe,AO,-15.2,12.15,80.6,65,53,17.22,1602857060
172,sabang,ID,5.89,95.32,83.14,76,48,20.04,1602857061
173,makakilo city,US,21.35,-158.09,77.0,94,20,3.36,1602857014
174,mitu,CO,1.2,-70.17,81.54,82,81,2.35,1602857063
175,ostrovnoy,RU,68.05,39.51,36.59,79,100,20.78,1602857064
176,meulaboh,ID,4.14,96.13,78.98,83,77,1.07,1602857066
177,gourcy,BF,13.22,-2.35,100.15,20,29,8.52,1602857067
178,caravelas,BR,-17.71,-39.25,75.74,87,99,7.81,1602857068
179,severo-kurilsk,RU,50.68,156.12,42.26,68,37,24.58,1602857069
